Method,Cases,MAE_mean,PSNR_mean,SSIM_mean,Edge_F1_mean,Runtime_s_mean
A_Baseline,25,29.947469639999998,15.302037679999998,0.24181964,0.8453622399999999,0.03783743999999999
B_Lighting,25,29.7735266,15.32082736,0.24227388000000002,0.84456096,0.036725440000000005
C_Bidirectional_Occlusion,25,27.230425360000005,15.518327240000001,0.26993448000000003,0.8753240800000001,0.15316459999999998
D_Full_Proposed,25,27.161504519999994,15.544167240000002,0.27180827999999996,0.8714413200000002,0.15592844
