Ring,Case,Left_View,Held_Out_Target,Right_View,Method,Mask_OK,MAE,PSNR,SSIM,Edge_F1,Runtime_s
horizontal,9,horizontal_17.JPG,horizontal_18.JPG,horizontal_19.JPG,D_Full_Proposed,1,31.890434,13.842882,0.212263,0.839047,0.154008
horizontal,10,horizontal_19.JPG,horizontal_20.JPG,horizontal_21.JPG,A_Baseline,1,33.785297,14.007866,0.214505,0.820055,0.036036
horizontal,10,horizontal_19.JPG,horizontal_20.JPG,horizontal_21.JPG,B_Lighting,1,33.634201,14.020469,0.215394,0.819497,0.035831
horizontal,10,horizontal_19.JPG,horizontal_20.JPG,horizontal_21.JPG,C_Bidirectional_Occlusion,1,29.272303,14.560984,0.271807,0.855592,0.148053
horizontal,10,horizontal_19.JPG,horizontal_20.JPG,horizontal_21.JPG,D_Full_Proposed,1,29.174410,14.591172,0.273843,0.852530,0.152132
horizontal,11,horizontal_21.JPG,horizontal_22.JPG,horizontal_23.JPG,A_Baseline,1,33.033447,14.390938,0.198621,0.817522,0.036393
horizontal,11,horizontal_21.JPG,horizontal_22.JPG,horizontal_23.JPG,B_Lighting,1,33.015499,14.392725,0.199060,0.818404,0.036211
horizontal,11,horizontal_21.JPG,horizontal_22.JPG,horizontal_23.JPG,C_Bidirectional_Occlusion,1,29.264481,14.776053,0.247216,0.853230,0.147509
horizontal,11,horizontal_21.JPG,horizontal_22.JPG,horizontal_23.JPG,D_Full_Proposed,1,29.220875,14.800211,0.249675,0.854218,0.153058
horizontal,12,horizontal_23.JPG,horizontal_24.JPG,horizontal_25.JPG,A_Baseline,1,30.677448,14.940066,0.228215,0.850331,0.036174
horizontal,12,horizontal_23.JPG,horizontal_24.JPG,horizontal_25.JPG,B_Lighting,1,30.499187,14.950719,0.228894,0.850864,0.035997
horizontal,12,horizontal_23.JPG,horizontal_24.JPG,horizontal_25.JPG,C_Bidirectional_Occlusion,1,29.455339,14.612027,0.255861,0.871400,0.148127
horizontal,12,horizontal_23.JPG,horizontal_24.JPG,horizontal_25.JPG,D_Full_Proposed,1,29.314304,14.634275,0.258970,0.871180,0.153259
horizontal,13,horizontal_25.JPG,horizontal_26.JPG,horizontal_27.JPG,A_Baseline,1,28.676704,15.532605,0.230902,0.859138,0.036327
horizontal,13,horizontal_25.JPG,horizontal_26.JPG,horizontal_27.JPG,B_Lighting,1,28.662790,15.533194,0.230913,0.857449,0.035979
horizontal,13,horizontal_25.JPG,horizontal_26.JPG,horizontal_27.JPG,C_Bidirectional_Occlusion,1,28.123142,15.269004,0.236206,0.878339,0.148661
horizontal,13,horizontal_25.JPG,horizontal_26.JPG,horizontal_27.JPG,D_Full_Proposed,1,28.038155,15.305679,0.237079,0.875609,0.153307
horizontal,14,horizontal_27.JPG,horizontal_28.JPG,horizontal_29.JPG,A_Baseline,1,28.611618,15.344501,0.215194,0.871015,0.036190
horizontal,14,horizontal_27.JPG,horizontal_28.JPG,horizontal_29.JPG,B_Lighting,1,28.521122,15.338693,0.216140,0.870988,0.036018
horizontal,14,horizontal_27.JPG,horizontal_28.JPG,horizontal_29.JPG,C_Bidirectional_Occlusion,1,27.980743,15.000301,0.241012,0.883959,0.148624
horizontal,14,horizontal_27.JPG,horizontal_28.JPG,horizontal_29.JPG,D_Full_Proposed,1,27.935467,15.011802,0.241939,0.877674,0.152411
horizontal,15,horizontal_29.JPG,horizontal_30.JPG,horizontal_31.JPG,A_Baseline,1,27.334299,15.960120,0.217010,0.866106,0.036074
horizontal,15,horizontal_29.JPG,horizontal_30.JPG,horizontal_31.JPG,B_Lighting,1,27.050041,16.004688,0.218125,0.865476,0.036290
horizontal,15,horizontal_29.JPG,horizontal_30.JPG,horizontal_31.JPG,C_Bidirectional_Occlusion,1,26.514795,15.845012,0.220833,0.888285,0.147700
horizontal,15,horizontal_29.JPG,horizontal_30.JPG,horizontal_31.JPG,D_Full_Proposed,1,26.454285,15.865239,0.221455,0.885423,0.152694
horizontal,16,horizontal_31.JPG,horizontal_32.JPG,horizontal_33.JPG,A_Baseline,1,31.570442,14.974127,0.189752,0.864201,0.036196
horizontal,16,horizontal_31.JPG,horizontal_32.JPG,horizontal_33.JPG,B_Lighting,1,31.419949,15.005148,0.190001,0.864208,0.036214
horizontal,16,horizontal_31.JPG,horizontal_32.JPG,horizontal_33.JPG,C_Bidirectional_Occlusion,1,27.162991,15.590919,0.241149,0.893377,0.149675
horizontal,16,horizontal_31.JPG,horizontal_32.JPG,horizontal_33.JPG,D_Full_Proposed,1,27.100788,15.609338,0.244108,0.887903,0.153270
horizontal,17,horizontal_33.JPG,horizontal_34.JPG,horizontal_35.JPG,A_Baseline,1,32.095657,14.671303,0.197989,0.853049,0.036054
horizontal,17,horizontal_33.JPG,horizontal_34.JPG,horizontal_35.JPG,B_Lighting,1,31.941696,14.687793,0.198557,0.852072,0.036080
horizontal,17,horizontal_33.JPG,horizontal_34.JPG,horizontal_35.JPG,C_Bidirectional_Occlusion,1,26.680662,15.514428,0.262108,0.894771,0.148553
horizontal,17,horizontal_33.JPG,horizontal_34.JPG,horizontal_35.JPG,D_Full_Proposed,1,26.605072,15.532355,0.262833,0.891307,0.154137
upper,1,upper_01.JPG,upper_02.JPG,upper_03.JPG,A_Baseline,1,30.537525,15.302237,0.223596,0.844869,0.036957
upper,1,upper_01.JPG,upper_02.JPG,upper_03.JPG,B_Lighting,1,30.103806,15.357713,0.224893,0.841451,0.036152
upper,1,upper_01.JPG,upper_02.JPG,upper_03.JPG,C_Bidirectional_Occlusion,1,27.317324,15.624306,0.256027,0.884944,0.148851
upper,1,upper_01.JPG,upper_02.JPG,upper_03.JPG,D_Full_Proposed,1,27.405123,15.617743,0.257186,0.881466,0.153727
upper,2,upper_03.JPG,upper_04.JPG,upper_05.JPG,A_Baseline,1,30.452106,15.587011,0.228300,0.841155,0.036414
upper,2,upper_03.JPG,upper_04.JPG,upper_05.JPG,B_Lighting,1,30.121668,15.649732,0.228390,0.840349,0.036112
upper,2,upper_03.JPG,upper_04.JPG,upper_05.JPG,C_Bidirectional_Occlusion,1,27.204002,15.782350,0.268549,0.893304,0.148248
upper,2,upper_03.JPG,upper_04.JPG,upper_05.JPG,D_Full_Proposed,1,27.084681,15.810373,0.270578,0.891673,0.153788
upper,3,upper_05.JPG,upper_06.JPG,upper_07.JPG,A_Baseline,1,27.804745,16.342768,0.262660,0.839273,0.036526
upper,3,upper_05.JPG,upper_06.JPG,upper_07.JPG,B_Lighting,1,27.639982,16.390254,0.263809,0.839781,0.036005
upper,3,upper_05.JPG,upper_06.JPG,upper_07.JPG,C_Bidirectional_Occlusion,1,27.477377,15.996296,0.249304,0.862703,0.149047
